Posted Date,Reference Number,Payee,Address,Amount
12/27/2014,2.46922E+22,SQ *DUTCH BROS COFFEE-MISSalem OR,Salem         OR ,-3.5
12/27/2014,2.46922E+22,SQ *DUTCH BROS COFFEE Woodburn OR,Woodburn      OR ,-3.5
12/27/2014,2.40152E+22,RB PETROLEUM LLC WILSONVILLE OR,WILSONVILLE   OR ,-18.28
12/29/2014,2.4445E+22,CARL'S JR 8009 WOODBURN OR,WOODBURN      OR ,-3
12/29/2014,2.40711E+22,BABICA HEN CAFE - DUND DUNDEE OR,DUNDEE        OR ,-31
12/29/2014,2.40711E+22,BABICA HEN CAFE - DUND DUNDEE OR,DUNDEE        OR ,-50
12/29/2014,2.48016E+22,WHITE ROSE ESTATE DAYTON OR,DAYTON        OR ,-30
12/29/2014,2.44978E+22,DEPONTE CELLARS DAYTON OR,DAYTON        OR ,-74
12/30/2014,2.46922E+22,SQ *HEATHER PRAST Portland OR,Portland      OR ,-75
12/30/2014,2.4445E+22,FRED-MEYER #0393 TUALATIN OR,TUALATIN      OR ,-14.28
12/30/2014,2.47679E+22,ARCHERY SUMMIT WINERY DAYTON OR,DAYTON        OR ,-15
12/30/2014,2.4445E+22,TJMAXX #0555 TUALATIN OR,TUALATIN      OR ,-24
12/30/2014,3.64734E+22,BA ELECTRONIC PAYMENT,,250
12/31/2014,2.4445E+22,FRED-MEYER #0393 TUALATIN OR,TUALATIN      OR ,-12.99
1/2/2015,2.43912E+22,DICKS SPORTING GOODS#342 TIGARD OR,TIGARD        OR ,-59.95
1/2/2015,2.4445E+22,LES SCHWAB TIRES #0257 TIGARD OR,TIGARD        OR ,-99.95
1/2/2015,2.46922E+22,332 BRIDGEPORT VILLAGE TIGARD OR,TIGARD        OR ,-21
1/2/2015,2.46922E+22,AVO*ADVOCARE INTL 800-542-4800 TX,800-542-4800  TX ,-86.45
1/2/2015,2.4445E+22,ANTHROPOLOGIE #478 TIGARD OR,TIGARD        OR ,-10.92
1/2/2015,2.4445E+22,TJMAXX #0555 TUALATIN OR,TUALATIN      OR ,-236.41
1/2/2015,2.46922E+22,BAJA FRESH MEXICAN GRI LAKE OSWEGO OR,LAKE OSWEGO   OR ,-18.46
1/2/2015,2.40552E+22,THE HOOP 503-371-4667 OR,503-371-4667  OR ,-20
1/2/2015,7.40552E+22,THE HOOP SALEM OR,SALEM         OR ,20
1/2/2015,2.42244E+22,SPACE AGE NO. 14 CLACKAMAS OR,CLACKAMAS     OR ,-19.13
1/2/2015,2.46922E+22,AVO*ADVOCARE INTL 800-542-4800 TX,800-542-4800  TX ,-201.36
1/2/2015,2.46922E+22,AVO*ADVOCARE INTL 800-542-4800 TX,800-542-4800  TX ,-164.81
1/3/2015,2.4494E+22,MT HOOD BREWING COMPANY GOVERNMENT CAOR,GOVERNMENT CA OR ,-42.75
1/3/2015,2.47554E+22,H MANAGEMENT MT HOOD SKI GOVERMENT CAMOR,GOVERMENT CAM OR ,-38
1/3/2015,2.47554E+22,MT HOOD SKI BOWL LLC GOVERNMENT CAOR,GOVERNMENT CA OR ,-30
1/3/2015,2.40711E+22,HURRICANE RACING GOVERNMENT CAOR,GOVERNMENT CA OR ,-28
1/5/2015,2.43324E+22,CHARLIE'S MOUNTAIN VIEW CGOVERNMENT CAOR,GOVERNMENT CA OR ,-43
1/5/2015,2.43324E+22,MOUNTAIN TRACKS GOVERNMENT CAOR,GOVERNMENT CA OR ,-32
1/5/2015,2.4494E+22,OIL CAN HENRYS 2 TUALATIN OR,TUALATIN      OR ,-35.99
1/5/2015,2.4445E+22,FRED-MEYER #0393 TUALATIN OR,TUALATIN      OR ,-55.64
1/5/2015,2.47554E+22,H MANAGEMENT MT HOOD SKI GOVERMENT CAMOR,GOVERMENT CAM OR ,-63.35
1/5/2015,2.44922E+22,SQ *KAADY CAR WASHE TUALATIN OR,TUALATIN      OR ,-7
1/6/2015,2.42244E+22,"PF BEAVERTON, OR BEAVERTON OR",BEAVERTON     OR ,-5.33
1/6/2015,2.42244E+22,"PF BEAVERTON, OR BEAVERTON OR",BEAVERTON     OR ,-5.33
1/6/2015,2.47893E+22,VS TRIMET 503-962-2992 OR,503-962-2992  OR ,-26
1/6/2015,2.4445E+22,TJMAXX #0555 TUALATIN OR,TUALATIN      OR ,-10
1/6/2015,7.4445E+22,TJMAXX #0555 TUALATIN OR,TUALATIN      OR ,19.5
1/6/2015,2.41641E+22,SAFEWAY STORE00026310 BEAVERTON OR,BEAVERTON     OR ,-2.04
1/6/2015,5.734E+20,BA ELECTRONIC PAYMENT,,1200
1/7/2015,2.4445E+22,FRED-MEYER #0375 TIGARD OR,TIGARD        OR ,-30.64
1/8/2015,2.44311E+22,PANDA EXPRESS #1051 WILSONVILLE OR,WILSONVILLE   OR ,-7.18
1/9/2015,2.40134E+22,LA PROVENCE BEAVERTON OR,BEAVERTON     OR ,-12.9
1/10/2015,2.47171E+22,CITY OF PORTLAND DEPT PORTLAND OR,PORTLAND      OR ,-2.4
1/10/2015,2.44922E+22,FRY'S ELECTRONICS #16 WILSONVILLE OR,WILSONVILLE   OR ,-22.98
1/10/2015,2.46104E+22,CHEESECAKE TIGARD TIGARD OR,TIGARD        OR ,-23.49
1/12/2015,2.44311E+22,SUNSUP TANNING CTR 7 BEA BEAVERTON OR,BEAVERTON     OR ,-138.45
1/12/2015,2.44311E+22,EINSTEIN BROS BAGELS3420 BEAVERTON OR,BEAVERTON     OR ,-2.7
1/12/2015,2.47554E+22,MAGIC CLEANERS PORTLAND OR,PORTLAND      OR ,-9.4
1/12/2015,2.40711E+22,THE SPORTS PAGE - BEAV BEAVERTON OR,BEAVERTON     OR ,-15
1/12/2015,2.41641E+22,TACO BELL 001600164616 BEAVERTON OR,BEAVERTON     OR ,-22.07
1/12/2015,1.2734E+21,BA ELECTRONIC PAYMENT,,350
1/13/2015,2.47893E+22,VS TRIMET 503-962-2992 OR,503-962-2992  OR ,-5
1/13/2015,2.46922E+22,TCKTWEB*PORTLANDADVONA 800-965-4827 CA,800-965-4827  CA ,-148.95
1/14/2015,2.44311E+22,PANDA EXPRESS #1051 WILSONVILLE OR,WILSONVILLE   OR ,-8.18
1/14/2015,2.41641E+22,TARGET 00018473 WILSONVILLE OR,WILSONVILLE   OR ,-8.87
1/14/2015,2.40711E+22,THE GROWLERIE BEAVERTON OR,BEAVERTON     OR ,-13
1/16/2015,2.41641E+22,SUBWAY 00287268 WILSONVILLE OR,WILSONVILLE   OR ,-6
1/16/2015,2.41641E+22,6MODA CENTER 10712107 PORTLAND OR,PORTLAND      OR ,-14
1/16/2015,2.41641E+22,6MODA CENTER 10712107 PORTLAND OR,PORTLAND      OR ,-16
1/16/2015,2.41641E+22,DR JACKS 13899505 PORTLAND OR,PORTLAND      OR ,-8.5
1/16/2015,2.41641E+22,DR JACKS 13899505 PORTLAND OR,PORTLAND      OR ,-18
1/17/2015,2.44311E+22,WILSONVILLE NAPA #962 WILSONVILLE OR,WILSONVILLE   OR ,-19.27
1/17/2015,2.46922E+22,SQ *DUTCH BROS. TIGARD Tigard OR,Tigard        OR ,-3.5
1/17/2015,2.41641E+22,SAFEWAY STORE00026310 BEAVERTON OR,BEAVERTON     OR ,-11.98
1/20/2015,2.44273E+22,ALBERTSONS #576 TIGARD OR,TIGARD        OR ,-36.78
1/20/2015,2.46922E+22,MCAFEE 866-622-3911 TX,866-622-3911  TX ,-19.99
1/21/2015,2.0734E+21,BA ELECTRONIC PAYMENT,,500
1/22/2015,2.44311E+22,PANDA EXPRESS #1051 WILSONVILLE OR,WILSONVILLE   OR ,-8
1/22/2015,2.46922E+22,AVO*ADVOCARE INTL 800-542-4800 TX,800-542-4800  TX ,-1741.7
1/22/2015,2.40711E+22,ZOUP! OREGON WILSONVILLE OR,WILSONVILLE   OR ,-20.69
1/24/2015,2.46922E+22,CALIFORNIA PIZZA 224 TIGARD OR,TIGARD        OR ,-16.87
1/26/2015,2.4399E+22,BEST BUY MHT 00014548 BEAVERTON OR,BEAVERTON     OR ,-19.99
1/26/2015,2.44981E+22,SUKI`S BAR & GRILL PORTLAND OR,PORTLAND      OR ,-45
1/26/2015,2.47893E+22,OSWEGO GRILL WILSONVILLE WILSONVILLE OR,WILSONVILLE   OR ,-16.2
1/26/2015,2.4445E+22,HOMEGOODS #433 BEAVERTON OR,BEAVERTON     OR ,-59.98
1/27/2015,2.44273E+22,ALBERTSONS #576 TIGARD OR,TIGARD        OR ,-5.98
1/27/2015,2.40134E+22,LA PROVENCE BEAVERTON OR,BEAVERTON     OR ,-36
1/27/2015,2.40711E+22,AVA ROASTERIA CO - BAR BEAVERTON OR,BEAVERTON     OR ,-3.55
1/28/2015,2.46922E+22,SQ *DUTCH BROS. BELMONT Portland OR,Portland      OR ,-4.5
1/28/2015,2.41641E+22,TACO BELL 001600164616 BEAVERTON OR,BEAVERTON     OR ,-8.08
1/28/2015,2.7734E+21,BA ELECTRONIC PAYMENT,,2000
1/30/2015,2.42317E+22,PAPA MURPHY'S OR034 BEAVERTON OR,BEAVERTON     OR ,-19
1/30/2015,2.41641E+22,SAFEWAY STORE00026310 BEAVERTON OR,BEAVERTON     OR ,-29.16
1/31/2015,2.41641E+22,SAFEWAY STORE00026310 BEAVERTON OR,BEAVERTON     OR ,-2.04
2/2/2015,2.44273E+22,ALBERTSONS #576 TIGARD OR,TIGARD        OR ,-8.37
2/2/2015,2.47774E+22,MAX`S FANNO CREEK BREW PUTIGARD OR,TIGARD        OR ,-50
2/2/2015,2.47331E+22,SESAME DONUTS TIGARD OR,TIGARD        OR ,-3.5
2/3/2015,2.40552E+22,THE HOOP 503-371-4667 OR,503-371-4667  OR ,-20
2/4/2015,2.46922E+22,REDBOX *DVD RENTAL 866-733-2693 IL,866-733-2693  IL ,-4
2/9/2015,2.40134E+22,LA PROVENCE BEAVERTON OR,BEAVERTON     OR ,-26
2/9/2015,2.41641E+22,SAFEWAY STORE00010470 LAKE OSWEGO OR,LAKE OSWEGO   OR ,-36.47
2/9/2015,3.8734E+21,BA ELECTRONIC PAYMENT,,200
2/9/2015,2.44311E+22,CHIPOTLE 1645 LAKE OSWEGO OR,LAKE OSWEGO   OR ,-17.1
2/10/2015,2.41641E+22,TARGET 00018473 WILSONVILLE OR,WILSONVILLE   OR ,-56.71
2/10/2015,2.46922E+22,SQ *DUTCH BROS COFFEE TUATualatin OR,Tualatin      OR ,-4.5
2/10/2015,2.4445E+22,WHOLEFDS GNW #10537 TIGARD OR,TIGARD        OR ,-10.29
2/10/2015,2.44922E+22,FRY'S ELECTRONICS #16 WILSONVILLE OR,WILSONVILLE   OR ,-69.48
2/10/2015,2.40711E+22,ARAMARK OREGON CONVENT PORTLAND OR,PORTLAND      OR ,-3
2/10/2015,2.42698E+22,BRIX TAVERN PORTLAND OR,PORTLAND      OR ,-26
2/10/2015,2.46922E+22,SQ *DUTCH BROS COFFEE TUATualatin OR,Tualatin      OR ,-2.5
2/10/2015,2.47171E+22,OCC BOX OFFICE PORTLAND OR,PORTLAND      OR ,-12
2/11/2015,7.40552E+22,THE HOOP SALEM OR,SALEM         OR ,20
2/11/2015,2.40711E+22,ZOUP! OREGON WILSONVILLE OR,WILSONVILLE   OR ,-17.19
2/12/2015,4.3734E+21,BA ELECTRONIC PAYMENT,,250
2/12/2015,2.41641E+22,TARGET 00018473 WILSONVILLE OR,WILSONVILLE   OR ,-36.87
2/12/2015,2.44311E+22,SPORT CLIPS OR-111 LAKE OSWEGO OR,LAKE OSWEGO   OR ,-24
2/13/2015,2.42514E+22,TWIGS BISTRO AND MARTINI TUALATIN OR,TUALATIN      OR ,-100
2/13/2015,2.46922E+22,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA,AMZN.COM/BILL WA ,-27.99
2/14/2015,2.46922E+22,SQ *DUTCH BROS COFFEE TUATualatin OR,Tualatin      OR ,-4.5
2/16/2015,2.40711E+22,BESAW'S PORTLAND OR,PORTLAND      OR ,-57
2/17/2015,4.8734E+21,BA ELECTRONIC PAYMENT,,250
2/18/2015,2.4494E+22,BJ WILLYS WOODFIRED PIZZ BEAVERTON OR,BEAVERTON     OR ,-45.86
2/18/2015,2.46922E+22,SQ *DUTCH BROS. TIGARD Tigard OR,Tigard        OR ,-3.5
2/19/2015,2.44978E+22,CASCADE COTTONS BEND OR,BEND          OR ,-21.95
2/19/2015,2.40711E+22,CINETOPIA PROGRESS RID BEAVERTON OR,BEAVERTON     OR ,-4.5
2/20/2015,2.42698E+22,CRUX FERMENTATION PROC BEND OR,BEND          OR ,-43
2/20/2015,2.47652E+22,DESCHUTES BREWERY BEND OR,BEND          OR ,-20
2/20/2015,2.4445E+22,LULU'S BOUTIQUE BEND OR,BEND          OR ,-61
2/20/2015,2.47554E+22,REGAL CINEMAS OLD MILL 10BEND OR,BEND          OR ,-10.5
2/21/2015,2.47893E+22,OSWEGO GRILL WILSONVILLE WILSONVILLE OR,WILSONVILLE   OR ,-30
2/21/2015,2.46922E+22,SQ *DUTCH BROS. TIGARD Tigard OR,Tigard        OR ,-3.5
2/21/2015,2.4494E+22,SHINSEI SUSHI BEND OR,BEND          OR ,-13
2/23/2015,2.48282E+22,PONZI VINEYARDS - WINERY SHERWOOD OR,SHERWOOD      OR ,-18
2/23/2015,2.47554E+22,WANKERS CORNER SALOON ANDWILSONVILLE OR,WILSONVILLE   OR ,-40
2/23/2015,2.47554E+22,SINJU BRIDGEPORT TIGARD OR,TIGARD        OR ,-52
2/23/2015,2.41641E+22,TARGET 00003459 TIGARD OR,TIGARD        OR ,-67.46
2/23/2015,5.2734E+21,BA ELECTRONIC PAYMENT,,200
2/23/2015,2.4445E+22,FRED-MEYER #0393 TUALATIN OR,TUALATIN      OR ,-0.8
2/23/2015,2.46922E+22,MCCORMICK AND SCHMICK TIGARD OR,TIGARD        OR ,-95
2/24/2015,2.47554E+22,BEAVERTON EYE HEALTH BEAVERTON OR,BEAVERTON     OR ,-30
2/25/2015,                       ,INTEREST CHARGED ON DIR DEP&CHK CASHADV,,0
2/25/2015,                       ,INTEREST CHARGED ON PURCHASES,,0
2/25/2015,                       ,INTEREST CHARGED ON BANK CASH ADVANCES,,0
2/25/2015,                       ,INTEREST CHARGED ON BALANCE TRANSFERS,,0
2/25/2015,2.44273E+22,ALBERTSONS #576 TIGARD OR,TIGARD        OR ,-43.51
2/25/2015,2.4494E+22,BANFIELD 5019 BEAVERTON OR,BEAVERTON     OR ,-13.49
2/25/2015,2.40552E+22,BUFFALO WILD WINGS #3574 TUALATIN OR,TUALATIN      OR ,-31
2/26/2015,2.46922E+22,SQ *DUTCH BROS. TIGARD Tigard OR,Tigard        OR ,-3.5
2/27/2015,2.46922E+22,SQ *RESTRANT DUTCH BROS CTualatin OR,Tualatin      OR ,-4.5
2/28/2015,2.42244E+22,HAGGEN FOOD AND PH TUALATIN OR,TUALATIN      OR ,-35.25
2/28/2015,2.46922E+22,SQ *RESTRANT DUTCH BROS CTualatin OR,Tualatin      OR ,-4.5
2/28/2015,2.47893E+22,OSWEGO GRILL LAKE OSWEGO OR,LAKE OSWEGO   OR ,-10
3/2/2015,6.1734E+21,BA ELECTRONIC PAYMENT,,500
3/2/2015,2.40711E+22,THE GROWLERIE BEAVERTON OR,BEAVERTON     OR ,-12
3/2/2015,2.4445E+22,JAMBA JUICE #1340 BEAVERTON OR,BEAVERTON     OR ,-5.99
3/2/2015,2.42991E+22,7-ELEVEN 22057 TIGARD OR,TIGARD        OR ,-2.49
3/3/2015,2.40134E+22,LA PROVENCE LAKE OSWEGO OR,LAKE OSWEGO   OR ,-30.15
3/3/2015,2.46922E+22,SQ *RESTRANT DUTCH BROS CTualatin OR,Tualatin      OR ,-4.5
3/3/2015,2.47893E+22,OSWEGO GRILL LAKE OSWEGO OR,LAKE OSWEGO   OR ,-28.1
3/3/2015,2.40134E+22,BIG ALS II BEAVERTON OR,BEAVERTON     OR ,-27.14
3/4/2015,2.41641E+22,SAFEWAY STORE00026310 BEAVERTON OR,BEAVERTON     OR ,-7.62
3/5/2015,2.4494E+22,TRUE RELIGION #65 PORTLAND OR,PORTLAND      OR ,-188
3/5/2015,2.46922E+22,STARBUCKS #00487 LAKE OSWLake Oswego OR,Lake Oswego   OR ,-2.95
3/5/2015,2.46922E+22,SQ *RESTRANT DUTCH BROS CTualatin OR,Tualatin      OR ,-3.75
3/6/2015,2.44311E+22,PANDA EXPRESS #1051 WILSONVILLE OR,WILSONVILLE   OR ,-7.4
3/6/2015,2.46922E+22,SQ *DUTCH BROS. TIGARD Tigard OR,Tigard        OR ,-3.5
3/6/2015,2.47171E+22,OHSU FOOD SERVICES PORTLAND OR,PORTLAND      OR ,-7.35
3/6/2015,2.47171E+22,RED ROBIN NO 77 PORTLAND OR,PORTLAND      OR ,-9
3/7/2015,2.44922E+22,"BLUE APRON, INC. WEEKL 888-278-4349 NY",888-278-4349  NY ,-59.94
3/7/2015,2.40134E+22,LA PROVENCE BEAVERTON OR,BEAVERTON     OR ,-36
3/7/2015,2.46922E+22,SQ *DUTCH BROS. TIGARD Tigard OR,Tigard        OR ,-4.5
3/9/2015,2.40711E+22,AVA ROASTERIA CO - BAR BEAVERTON OR,BEAVERTON     OR ,-3
3/9/2015,2.47652E+22,SOUTHLAND WHISKEY KITCHENPORTLAND OR,PORTLAND      OR ,-21.24
3/9/2015,2.47652E+22,CASA DEL MATADOR NW PORTLAND OR,PORTLAND      OR ,-54
3/9/2015,2.47652E+22,CASA DEL MATADOR NW PORTLAND OR,PORTLAND      OR ,-15
3/9/2015,2.4445E+22,FRED MEYER #0516 WILSONVILLE OR,WILSONVILLE   OR ,-4.68
3/9/2015,2.40711E+22,21ST AVE BAR & GRILL PORTLAND OR,PORTLAND      OR ,-11
3/9/2015,2.40552E+22,BUFFALO WILD WINGS #3574 TUALATIN OR,TUALATIN      OR ,-24
3/9/2015,2.41225E+22,TRES JOLIE NAILS & SPA TIGARD OR,TIGARD        OR ,-77
3/9/2015,2.47893E+22,GAP #2805/THE PORTLAND OR,PORTLAND      OR ,-11.84
3/9/2015,2.4445E+22,JAMBA JUICE #1340 BEAVERTON OR,BEAVERTON     OR ,-5.79
3/10/2015,6.8734E+21,BA ELECTRONIC PAYMENT,,450
3/10/2015,7.4445E+22,LES SCHWAB TIRES #0224 LAKE OSWEGO OR,LAKE OSWEGO   OR ,99.95
3/10/2015,2.46922E+22,SQ *DUTCH BROS. TIGARD Tigard OR,Tigard        OR ,-3.5
3/10/2015,2.41641E+22,SAFEWAY STORE00026310 BEAVERTON OR,BEAVERTON     OR ,-9.99
3/11/2015,2.46922E+22,SQ *DUTCH BROS. COFFEE - Portland OR,Portland      OR ,-4.5
3/12/2015,2.40134E+22,DONUT LAND TUALATIN OR,TUALATIN      OR ,-3.75
3/12/2015,2.47893E+22,OSWEGO GRILL WILSONVILLE WILSONVILLE OR,WILSONVILLE   OR ,-53.95
3/12/2015,2.41641E+22,SAFEWAY STORE00026310 BEAVERTON OR,BEAVERTON     OR ,-57.37
3/13/2015,2.44311E+22,PANDA EXPRESS #1051 WILSONVILLE OR,WILSONVILLE   OR ,-7.4
3/13/2015,2.46922E+22,"APEX HOME INSPECTIONS, HAPPY VALLEY OR",HAPPY VALLEY  OR ,-580
3/13/2015,2.40134E+22,BIG ALS II BEAVERTON OR,BEAVERTON     OR ,-34.95
3/13/2015,2.46922E+22,SQ *DUTCH BROS. TIGARD Tigard OR,Tigard        OR ,-3.5
3/13/2015,2.46922E+22,INTUIT *TURBOTAX 800-446-8848 CA,800-446-8848  CA ,-19.99
3/14/2015,2.47679E+22,PASTINI PASTARIA RESTAURATIGARD OR,TIGARD        OR ,-22.73
3/16/2015,7.3734E+21,BA ELECTRONIC PAYMENT,,500
3/16/2015,2.4445E+22,JAMBA JUICE #1340 BEAVERTON OR,BEAVERTON     OR ,-4.29
3/17/2015,2.4445E+22,RUBY TUESDAY #7623 BEAVERTON OR,BEAVERTON     OR ,-41.98
3/17/2015,2.44457E+22,MACY'S EAST #381 PORTLAND OR,PORTLAND      OR ,-58
